-0.7761,-2.7469,-1.0312,-1.9775,-2.92,-0.54903,-2.1593,-0.31673
-5.0682,-0.52109,-2.9544,-0.1585,-1.7342,-1.5008,-2.7817,-0.6695
-8.1612,0.4393,-4.75,1.437,-0.27537,-2.5501,-3.378,-1.1034
-3.9303,1.1326,-5.8871,2.022,0.99885,-3.405,-3.8537,-1.5064
0.64633,0.24452,-4.3591,2.5033,1.5317,-4.3957,-4.4684,-1.9925
2.0011,-2.4288,-2.5491,2.4111,1.6889,-5.2978,-5.0348,-2.3614
-0.8519,-5.4597,-0.63929,1.3077,1.1511,-6.2012,-5.1379,-2.7474
-5.9958,-7.3015,0.065081,-0.77546,0.31064,-6.9251,-5.1355,-3.1395
-9.5563,-5.2268,0.43739,-2.8209,-0.79641,-6.4696,-4.7655,-3.4413
-4.7072,-0.98589,0.76455,-4.3412,-1.9748,-5.7138,-4.2858,-3.6358
1.4801,3.0476,1.0268,-5.273,-3.1118,-4.2822,-3.2787,-3.4321
3.73,3.7709,-1.2746,-4.5707,-4.0028,-3.4967,-2.7606,-3.6282
1.4185,1.7019,-3.9729,-3.4129,-4.7096,-2.5223,-2.1023,-3.7717
-4.1125,-2.623,-6.326,-1.9259,-5.2664,-1.42,-1.4346,-3.9207
-9.1563,-6.9507,-6.8594,-0.077822,-4.8914,-0.2176,-0.73725,-4.0447
-6.1259,-8.1183,-4.7552,1.6292,-3.7832,1.0353,-0.025525,-4.2323
-0.30363,-4.1257,-0.94804,3.2168,-2.1663,1.9766,0.66548,-4.3457
3.2473,0.34949,2.7281,4.0168,-0.48425,2.6861,1.0556,-4.4146
2.7367,3.6367,4.2747,3.759,0.99947,3.2758,1.4282,-4.1354
-1.6072,4.2464,4.2504,2.0697,2.1996,3.3973,1.5552,-3.8331
-5.9976,3.1895,3.6964,0.66797,3.6405,3.8264,2.2661,-3.124
-3.8322,0.18972,0.64641,-1.8279,3.7971,3.3215,2.2505,-2.8668
-0.20303,-3.1756,-3.024,-4.1498,3.203,2.3535,1.9727,-2.5992
1.8968,-6.6997,-6.0424,-4.885,2.3659,1.1011,1.6482,-2.4468
1.1015,-5.8314,-7.1617,-3.4099,1.5248,-0.084012,1.3963,-2.1691
-2.535,-2.5185,-4.6196,-1.291,0.25205,-1.232,1.0976,-1.9597
-6.3116,0.77173,-1.4384,1.0815,-0.89412,-2.3372,0.64614,-1.699
-3.5736,3.8063,2.0514,3.2892,-2.0901,-3.5952,0.053759,-1.475
1.4649,5.0027,4.5851,4.2968,-3.4475,-4.6411,-0.57502,-1.219
4.3321,3.2896,4.7977,4.2598,-4.8438,-5.6091,-1.2512,-0.98824
3.8886,0.43898,4.5862,3.9453,-5.4448,-5.5822,-1.493,-0.38391
-1.4232,-4.1375,2.0842,2.1321,-4.7059,-4.9575,-1.9633,-0.12334
-6.8776,-6.4285,-1.3962,-0.36425,-3.7121,-4.1033,-2.3253,0.13232
-5.4286,-3.5368,-3.8741,-2.4986,-2.6153,-2.9907,-2.5627,0.44803
0.22402,0.49041,-5.6282,-4.1392,-1.1584,-1.853,-2.8118,0.73915
4.5673,3.8078,-5.1167,-5.0482,0.37332,-0.67714,-3.0294,0.91463
4.9174,5.0548,-1.9829,-2.7475,2.4519,0.7727,-3.1496,1.095
0.77092,3.5158,0.82507,-0.24556,3.9698,2.1979,-2.9876,1.2677
-4.778,-0.062388,3.1752,2.2106,4.9616,3.3122,-2.4745,1.5024
-5.3684,-3.3831,4.2963,4.4405,5.104,3.9295,-1.887,1.6321
0.047672,-4.0968,5.5847,6.7401,5.3591,5.1465,-0.81106,2.3422
5.0233,-0.27272,5.654,7.3834,4.3264,5.2814,-0.23587,2.478
5.6213,2.7442,3.5194,6.4571,2.7435,4.8694,0.26212,2.6061
2.2319,5.0813,1.016,4.6911,0.8794,4.1415,0.65075,2.5858
-2.9064,4.8559,-2.2115,1.8759,-1.2682,3.1221,0.87648,2.4652
-4.4535,2.7201,-4.9556,-1.1225,-3.2084,1.7988,1.2568,2.3562
-0.0071279,0.66225,-3.791,-3.1346,-4.6914,0.51274,1.6155,2.3113
3.7058,-1.8924,-1.9259,-4.7659,-5.1106,-0.58824,2.0487,2.3102
3.6377,-4.5449,0.44263,-4.1843,-4.0049,-1.245,2.3679,2.245
1.1357,-2.4842,3.3418,-1.6323,-2.4336,-2.025,2.6342,2.123
-2.3841,1.3328,6.1287,1.57,0.0068374,-2.1959,3.2447,2.3244
-3.3691,4.8246,6.8609,4.1071,1.8313,-2.7406,3.2901,2.0268
2.1651,7.8305,6.0551,6.4156,3.6656,-3.074,3.4905,1.7812
6.6238,7.7081,3.7147,7.5393,5.1702,-2.2688,3.4616,1.4538
7.1703,4.3727,0.54946,7.3374,5.9917,-1.3694,3.3704,1.108
2.6328,-0.42557,-3.0879,5.8728,5.8939,-0.52802,3.2331,0.71142
-3.3341,-5.0099,-4.2513,3.8418,4.9006,0.18242,2.8377,0.28326
-6.2756,-5.1556,-2.0531,1.8442,3.7158,1.1467,2.3929,-0.067173
-0.24075,-0.24648,1.2187,0.17446,2.3685,1.9089,1.8998,-0.39299
5.5536,4.697,4.596,-1.382,0.98207,2.7592,1.3869,-0.76794
9.0262,8.8265,7.4229,-2.0761,-0.039518,4.0236,1.3077,-0.86297
5.5734,8.851,7.8571,-0.9245,-1.2553,4.6141,0.7433,-1.2934
0.050883,5.5687,6.3551,0.68079,-2.3162,4.7172,0.10732,-1.6966
-4.5756,0.83712,3.1235,2.1415,-3.0654,4.6669,-0.64993,-2.188
