3.66,3.66,3.66,3.66,-3.27,-3.27,-3.27,-3.27,1.79,1.79,1.79,1.79,-2.7,-2.7,-2.7,-2.7,-3.86,-3.86,-3.86,-3.86,3.35,3.35,3.35,3.35,-4.92,-4.92,-4.92,4.81,4.81,4.81
-6.17,-6.17,-6.17,-6.17,3.96,3.96,3.96,3.96,-3.93,-3.93,-3.93,-3.93,2.1,2.1,2.1,2.1,-0.23,-0.23,-0.23,-0.23,0.69,0.69,0.69,0.69,-6.85,-6.85,-6.85,3.63,3.63,3.63
-13.99,-13.99,-13.99,-13.99,11.19,11.19,11.19,11.19,-9.64,-9.64,-9.64,-9.64,6.9,6.9,6.9,6.9,3.41,3.41,3.41,3.41,-1.96,-1.96,-1.96,-1.96,-8.77,-8.77,-8.77,2.44,2.44,2.44
-4.16,-4.16,-4.16,-4.16,11.58,11.58,11.58,11.58,-14.64,-14.64,-14.64,-14.64,11.7,11.7,11.7,11.7,7.05,7.05,7.05,7.05,-4.62,-4.62,-4.62,-4.62,-10.69,-10.69,-10.69,1.26,1.26,1.26
5.68,5.68,5.68,5.68,4.36,4.36,4.36,4.36,-8.93,-8.93,-8.93,-8.93,13.5,13.5,13.5,13.5,10.68,10.68,10.68,10.68,-7.27,-7.27,-7.27,-7.27,-12.62,-12.62,-12.62,0.07,0.07,0.07
14.48,14.48,14.48,14.48,-2.87,-2.87,-2.87,-2.87,-3.21,-3.21,-3.21,-3.21,8.7,8.7,8.7,8.7,14.32,14.32,14.32,14.32,-9.93,-9.93,-9.93,-9.93,-14.54,-14.54,-14.54,-1.11,-1.11,-1.11
4.65,4.65,4.65,4.65,-10.1,-10.1,-10.1,-10.1,2.5,2.5,2.5,2.5,3.9,3.9,3.9,3.9,12.05,12.05,12.05,12.05,-12.58,-12.58,-12.58,-12.58,-13.54,-13.54,-13.54,-2.3,-2.3,-2.3
-5.19,-5.19,-5.19,-5.19,-12.67,-12.67,-12.67,-12.67,8.21,8.21,8.21,8.21,-0.9,-0.9,-0.9,-0.9,8.41,8.41,8.41,8.41,-14.76,-14.76,-14.76,-14.76,-11.62,-11.62,-11.62,-3.49,-3.49,-3.49
-14.98,-14.98,-14.98,-14.98,-5.44,-5.44,-5.44,-5.44,13.93,13.93,13.93,13.93,-5.7,-5.7,-5.7,-5.7,4.77,4.77,4.77,4.77,-12.11,-12.11,-12.11,-12.11,-9.69,-9.69,-9.69,-4.67,-4.67,-4.67
-5.14,-5.14,-5.14,-5.14,1.79,1.79,1.79,1.79,10.36,10.36,10.36,10.36,-10.5,-10.5,-10.5,-10.5,1.14,1.14,1.14,1.14,-9.45,-9.45,-9.45,-9.45,-7.77,-7.77,-7.77,-5.86,-5.86,-5.86
4.7,4.7,4.7,4.7,9.02,9.02,9.02,9.02,4.64,4.64,4.64,4.64,-14.7,-14.7,-14.7,-14.7,-2.5,-2.5,-2.5,-2.5,-6.8,-6.8,-6.8,-6.8,-5.85,-5.85,-5.85,-7.04,-7.04,-7.04
14.53,14.53,14.53,14.53,13.75,13.75,13.75,13.75,-1.07,-1.07,-1.07,-1.07,-9.9,-9.9,-9.9,-9.9,-6.14,-6.14,-6.14,-6.14,-4.14,-4.14,-4.14,-4.14,-3.92,-3.92,-3.92,-8.23,-8.23,-8.23
5.63,5.63,5.63,5.63,6.52,6.52,6.52,6.52,-6.79,-6.79,-6.79,-6.79,-5.1,-5.1,-5.1,-5.1,-9.77,-9.77,-9.77,-9.77,-1.49,-1.49,-1.49,-1.49,-2,-2,-2,-9.42,-9.42,-9.42
-4.2,-4.2,-4.2,-4.2,-0.7,-0.7,-0.7,-0.7,-12.5,-12.5,-12.5,-12.5,-0.3,-0.3,-0.3,-0.3,-13.41,-13.41,-13.41,-13.41,1.17,1.17,1.17,1.17,-0.08,-0.08,-0.08,-10.6,-10.6,-10.6
-14.04,-14.04,-14.04,-14.04,-7.93,-7.93,-7.93,-7.93,-11.79,-11.79,-11.79,-11.79,4.5,4.5,4.5,4.5,-12.95,-12.95,-12.95,-12.95,3.82,3.82,3.82,3.82,1.85,1.85,1.85,-11.79,-11.79,-11.79
-6.12,-6.12,-6.12,-6.12,-14.84,-14.84,-14.84,-14.84,-6.07,-6.07,-6.07,-6.07,9.3,9.3,9.3,9.3,-9.32,-9.32,-9.32,-9.32,6.48,6.48,6.48,6.48,3.77,3.77,3.77,-12.97,-12.97,-12.97
3.71,3.71,3.71,3.71,-7.61,-7.61,-7.61,-7.61,-0.36,-0.36,-0.36,-0.36,14.1,14.1,14.1,14.1,-5.68,-5.68,-5.68,-5.68,9.13,9.13,9.13,9.13,5.69,5.69,5.69,-14.16,-14.16,-14.16
13.55,13.55,13.55,13.55,-0.38,-0.38,-0.38,-0.38,5.36,5.36,5.36,5.36,11.1,11.1,11.1,11.1,-2.05,-2.05,-2.05,-2.05,11.79,11.79,11.79,11.79,7.62,7.62,7.62,-14.66,-14.66,-14.66
6.61,6.61,6.61,6.61,6.85,6.85,6.85,6.85,11.07,11.07,11.07,11.07,6.3,6.3,6.3,6.3,1.59,1.59,1.59,1.59,14.44,14.44,14.44,14.44,9.54,9.54,9.54,-13.47,-13.47,-13.47
-3.22,-3.22,-3.22,-3.22,14.08,14.08,14.08,14.08,13.21,13.21,13.21,13.21,1.5,1.5,1.5,1.5,5.23,5.23,5.23,5.23,12.9,12.9,12.9,12.9,11.46,11.46,11.46,-12.28,-12.28,-12.28
-13.06,-13.06,-13.06,-13.06,8.69,8.69,8.69,8.69,7.5,7.5,7.5,7.5,-3.3,-3.3,-3.3,-3.3,8.86,8.86,8.86,8.86,10.25,10.25,10.25,10.25,13.38,13.38,13.38,-11.1,-11.1,-11.1
-7.11,-7.11,-7.11,-7.11,1.46,1.46,1.46,1.46,1.79,1.79,1.79,1.79,-8.1,-8.1,-8.1,-8.1,12.5,12.5,12.5,12.5,7.59,7.59,7.59,7.59,14.69,14.69,14.69,-9.91,-9.91,-9.91
2.73,2.73,2.73,2.73,-5.77,-5.77,-5.77,-5.77,-3.93,-3.93,-3.93,-3.93,-12.9,-12.9,-12.9,-12.9,13.86,13.86,13.86,13.86,4.94,4.94,4.94,4.94,12.77,12.77,12.77,-8.73,-8.73,-8.73
12.57,12.57,12.57,12.57,-12.99,-12.99,-12.99,-12.99,-9.64,-9.64,-9.64,-9.64,-12.3,-12.3,-12.3,-12.3,10.23,10.23,10.23,10.23,2.28,2.28,2.28,2.28,10.85,10.85,10.85,-7.54,-7.54,-7.54
7.6,7.6,7.6,7.6,-9.78,-9.78,-9.78,-9.78,-14.64,-14.64,-14.64,-14.64,-7.5,-7.5,-7.5,-7.5,6.59,6.59,6.59,6.59,-0.37,-0.37,-0.37,-0.37,8.92,8.92,8.92,-6.36,-6.36,-6.36
